customer_id,first_name,last_name,gender,age,country,email,phone,customer_type,loyalty_status,annual_income,booking_frequency,preferred_channel,customer_satisfaction
1,Jerome,Arroyo,Male,19,Australia,christian68@gmail.com,5817520449,Leisure,Gold,1236213,5,Agent,2.3
2,Angela,Leonard,Male,55,UAE,brownnicholas@yahoo.com,2994565593,Corporate,Silver,692986,7,Website,3.5
3,Monique,Finley,Male,53,USA,scampbell@yahoo.com,4950380348,Leisure,Gold,2184119,19,Mobile App,4.4
4,Brian,Martinez,Male,66,USA,clarkgrant@hotmail.com,2664059018,Leisure,Premium,1465476,5,Website,4.9
5,Stephanie,Williams,Female,24,India,kevin61@gmail.com,4678547556,Leisure,Silver,1805668,12,Agent,2.8
6,Logan,Conway,Male,64,UAE,erin36@greene.biz,4010160103,Corporate,Platinum,630511,18,Mobile App,4.5
7,Deborah,Cunningham,Female,54,USA,glennjoseph@cox.org,6367448677,Corporate,Silver,1255874,25,Mobile App,5
8,Antonio,Robertson,Male,24,UAE,htorres@hotmail.com,6612674217,Leisure,Platinum,1830217,6,Mobile App,3.1
9,Debra,Bonilla,Female,62,Australia,hray@hotmail.com,2094665184,Corporate,Gold,1326811,6,Mobile App,3.1
10,Kevin,Higgins,Male,61,UK,brownmitchell@gmail.com,8712748467,Corporate,Gold,434638,11,Mobile App,2.8
11,Amanda,Reese,Male,54,Australia,omiranda@hotmail.com,964921419,Leisure,Gold,2393927,13,Agent,3.4
12,Danielle,Williams,Female,26,USA,bowersdawn@chang-hickman.com,5411672093,Leisure,Platinum,1975207,12,Website,5
13,Jeremy,Wilson,Male,50,UAE,ariel78@torres-carrillo.biz,995963182,Corporate,Silver,759901,5,Agent,2.5
14,Gavin,Pena,Female,56,India,samuelreyes@hotmail.com,8857040349,Leisure,Platinum,2263143,17,Mobile App,4.9
15,Robert,Pennington,Male,61,Australia,zacharyboyer@stewart.com,323539526,Corporate,Premium,1726799,4,Mobile App,3.3
16,Beverly,Turner,Female,18,Australia,berrythomas@watkins-flores.com,9958327029,Leisure,Gold,2429371,4,Agent,2.9
17,Jeremy,Hinton,Male,27,UK,kellysilva@gmail.com,7939385748,Corporate,Silver,1659609,16,Website,2.3
18,Morgan,Kennedy,Female,69,UK,danaperkins@gmail.com,8251016596,Corporate,Silver,1310288,19,Website,2.3
19,Tanya,Lynch,Female,70,India,basskevin@owens.biz,9232971882,Corporate,Gold,2293478,18,Website,2.8
20,Alvin,Armstrong,Female,31,Canada,morrisjaime@hotmail.com,1397082636,Corporate,Premium,1973494,22,Agent,3.1
21,Cory,Grant,Female,25,USA,vargashunter@hicks-hardy.com,2598173475,Corporate,Silver,1718033,1,Agent,3.7
22,Mary,Noble,Male,18,India,gordoncurtis@yahoo.com,4474044214,Corporate,Gold,582697,2,Mobile App,2.2
23,Joseph,Davis,Male,35,Australia,charles47@reed.com,434664761,Leisure,Gold,854956,24,Agent,3.7
24,Deborah,Richards,Male,68,UAE,davidhamilton@hotmail.com,4803493516,Leisure,Gold,695631,4,Agent,3.3
25,John,Williams,Female,44,UAE,imoreno@hotmail.com,9717623770,Corporate,Silver,554227,13,Agent,3
26,Joann,Houston,Male,33,USA,nelsonharold@hotmail.com,8663249046,Corporate,Platinum,887967,14,Website,2.8
27,Amy,Garner,Male,22,UAE,changbrooke@nunez-swanson.org,5524041179,Corporate,Silver,361898,3,Website,2.5
28,Cristina,Smith,Female,48,USA,christinalee@allen.net,4181233316,Leisure,Silver,990538,13,Website,5
29,James,Quinn,Female,68,UAE,mendezcaitlin@wilson.org,49121416,Leisure,Platinum,2341247,5,Website,2.9
30,Pamela,Kelly,Male,55,Australia,ssmith@yahoo.com,7516760205,Corporate,Premium,539768,2,Agent,3.4
31,Thomas,Sanders,Male,21,Canada,larryrobles@gmail.com,4251812194,Corporate,Gold,587399,20,Website,4
32,Christine,Wiggins,Male,43,India,wconner@hotmail.com,1056338384,Corporate,Silver,643863,14,Agent,3.8
33,Stephanie,Mcclain,Female,34,USA,andersonolivia@yahoo.com,3719340977,Leisure,Gold,1414068,13,Website,4
34,Brian,Wilson,Female,47,UK,hunteralex@yahoo.com,7090286299,Corporate,Silver,2222188,20,Agent,5
35,Susan,Romero,Male,52,USA,jamesjohnson@yahoo.com,8701114177,Leisure,Gold,1763849,3,Website,3.1
36,Nancy,Flores,Male,46,Canada,megan56@yahoo.com,6192956417,Leisure,Silver,1555685,22,Website,4.8
37,Jaime,Hughes,Male,34,India,shannonmunoz@trujillo.com,6111294267,Corporate,Gold,1442311,10,Agent,2.6
38,Kelly,White,Female,31,Australia,sandra07@clark.biz,3792079679,Leisure,Platinum,1353278,2,Website,3.9
39,Travis,Nixon,Female,20,India,mbradley@gmail.com,1098085406,Leisure,Gold,1398720,6,Agent,3.3
40,Eduardo,Allen,Female,53,India,darlene63@carter.info,5379633604,Corporate,Silver,925178,18,Website,4.5
41,Sara,Huber,Male,45,USA,christina72@hotmail.com,5196262005,Corporate,Premium,1829459,2,Mobile App,2.6
42,Christopher,Gutierrez,Male,60,India,meyerwilliam@yahoo.com,7060253368,Leisure,Platinum,948243,8,Website,4.9
43,Kevin,Williams,Male,44,India,jennifer26@gmail.com,9013008967,Corporate,Premium,2026850,22,Agent,4.4
44,Derrick,Johnson,Female,28,Australia,kyoung@yahoo.com,8045919014,Corporate,Platinum,462422,16,Website,2.6
45,Mark,Sharp,Female,40,UK,dgarcia@yahoo.com,3685704742,Corporate,Gold,399255,22,Website,3.2
46,Andrea,Simmons,Female,22,UK,garrisonandrew@yahoo.com,5991385113,Leisure,Platinum,1688943,1,Website,4.6
47,Robert,Fisher,Female,29,Canada,erica11@martinez.info,9885354956,Leisure,Silver,754673,20,Mobile App,3
48,Peter,Arroyo,Female,45,Canada,rrobinson@garcia-cole.com,9736848168,Corporate,Platinum,1097248,9,Website,4.1
49,Miranda,Jensen,Male,51,Canada,hcalhoun@hotmail.com,3809498326,Corporate,Premium,2108992,3,Agent,4.8
50,Joseph,Day,Female,60,India,melissa36@bates.com,4085743711,Leisure,Premium,2012924,11,Mobile App,4.1
51,Jean,Thomas,Male,30,UAE,woodardalison@lowe-ryan.com,9067651441,Leisure,Gold,1562275,13,Agent,4.5
52,Donald,Thompson,Female,36,USA,francismichael@powers.com,6309242779,Leisure,Premium,2250301,15,Mobile App,4
53,David,Moore,Female,68,Australia,yvonnejohnson@hotmail.com,4276594704,Corporate,Silver,1490286,17,Agent,3.9
54,Jeffrey,Lawson,Female,23,USA,francorichard@bradley.com,5058346323,Leisure,Gold,1135211,5,Website,2.1
55,Ryan,Bowers,Female,57,India,raymary@yahoo.com,1001778528,Leisure,Platinum,1115520,23,Agent,3.2
56,Kelly,Bentley,Female,33,USA,robertsondeborah@hotmail.com,6209357572,Corporate,Silver,2083192,8,Website,4.4
57,Yvonne,Smith,Female,21,Canada,yolanda64@stewart-montgomery.com,6771960590,Corporate,Silver,2214539,5,Mobile App,4
58,Gary,Smith,Female,66,UAE,kallen@yahoo.com,4681781159,Leisure,Platinum,967556,24,Mobile App,3.4
59,Deborah,Gross,Male,58,UK,qgutierrez@hotmail.com,6660173813,Leisure,Gold,1451745,15,Website,4.1
60,Raymond,Orr,Male,35,UK,yvonnethomas@jones-bailey.com,7729802010,Leisure,Silver,880382,5,Website,3.1
61,Rachel,Baker,Male,63,USA,michelle80@spencer.info,9937952210,Corporate,Platinum,2009595,11,Agent,3.4
62,Meghan,Moore,Male,31,UAE,amandamiller@gmail.com,2208541276,Leisure,Silver,1895433,16,Website,4.8
63,Kari,Robinson,Female,66,UAE,bishopjesus@blanchard.net,861896044,Leisure,Gold,2347782,8,Mobile App,3.3
